ciudad,latitud,longitud
SANTA ANA,9.79029, -74.78244
MOMPOS,9.32125, -74.56848
CAUCASIA,9.24194, -74.42667
ISTMINA,7.98654, -75.19349
ANSERMA,5.16054, -76.68397
TUQUERRES,5.33278, -75.79111
SAN RAFAEL,1.08647, -77.61858
OCAÑA,6.29436, -75.02589
LA PINTADA,8.23773, -73.35604
BELEN DE UMBRIA,5.74867, -75.60626
AGUA DE DIOS,5.20087, -75.86865
SAN JOSE DEL PALMAR,4.37648, -74.66995
LA JAGUA DE IBIRICO,4.89616, -76.23422
MAGANGUE,9.56228, -73.33405
SOCORRO,9.24202, -74.75467
ZARAGOZA,6.46838, -73.26022
FALAN,7.48971, -74.86919
COLOMBIA,5.12383, -74.95181
CABRERA (CUN),3.37606, -74.8015
CONCORDIA (ANT),3.98598, -74.48283
OTANCHE,6.04639, -75.90705
BOJACA,5.65672, -74.18249
VIJES,4.73176, -74.34129
AYAPEL,3.69934, -76.4423
BUGALAGRANDE,8.31372, -75.13982
NEIRA,4.21207, -76.15564
ARACATACA,5.1665, -75.52001
PRADERA,10.59181, -74.18983
CAREPA,3.42111, -76.24472
TAURAMENA,7.75849, -76.65255
COVEÑAS,5.01789, -72.74675
SAHAGUN,9.40254, -75.68029
EL CERRITO,8.94617, -75.44275
MIRAFLORES (BOY),3.68549, -76.31372
EL PASO,5.19608, -73.14504
SAN PEDRO (VAL),3.99445, -76.22885
ROZO,3.6148,  -76.386
PLANETA RICA,8.4115, -75.58508
PUEBLO NUEVO,8.2411, -74.95815
ASTREA,9.49828, -73.97591
USIACURI,10.74313, -74.97604
ICONONZO,4.17698, -74.53254
EL CARMEN DEL CHUCURY,6.698061, -73.5111
el reten ,10.61135, -74.26824
SEGOVIA,7.07993, -74.6989
SEVILLA,4.26425, -75.93085
VITERBO,5.06242, -75.87159
ROLDANILLO,4.41256, -76.15457
OBANDO,4.57583, -75.97389
BELALCAZAR,4.99528, -75.81278
CALIFORNIA,7.34776, -72.9458
SINCE ,9.30472, -75.39778
SANTA ROSA DE CABAL,4.86806, -75.62139
REPELON,10.4952, -75.12448
NEMOCON,5.06767, -73.87769
SESQUILE,5.04463, -73.79724
AMAGA,6.04001, -75.70315
AMALFI,6.91016, -75.07764
SANTAFE DE ANTIOQUIA,6.55687, -75.82806
SALAMINA (CAL),5.40733, -75.48749
FLORIDA  ,3.3223, -76.2348
MALAGA,6.69903, -72.73233
TALAIGUA NUEVO,9.30347, -74.56477
GUACARI,3.764722, -76.332222
LA GLORIA,8.61868, -73.80265
CERRITO,6.84315, -72.69404
REMEDIOS,7.02835, -74.69379
VILLANUEVA (CAS),5.28333, -71.96667
BUENAVISTA (SUC),9.31939, -74.97358
SABANAGRANDE,10.79115, -74.76059
VEGACHI,6.76141, -74.79473
SOPETRAN,6.5018, -75.74309
SARDINATA,8.08289, -72.80071
MIRANDA,6.6587, -72.73344
CAÑASGORDAS,6.74989, -76.02539
EL PEÑOL,1.45365, -77.44017
LA PAZ (CES),10.38439, -73.17332
FILANDIA,4.67472, -75.65833
PIVIJAY,10.46167, -74.61621
